i, j, dm, x, s, t, u, v, n, e, s, w, p, d
0, 1, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 1, 2, 0, 0, 1, 0, 0, 0, -0.51, -0.51, -0.4224, 0, 0
0, 1, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
0, 1, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 1, 2, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0
0, 1, 2, 0, 1, 0, 0, 0, 0, -0.3, -0.3, 0, 0, 0
0, 1, 2, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 1, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 1, 2, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 1, 2, 0, 1, 1, 0, 0, 0, -0.7625866, -1.000263, -0.91758, 0, 0
0, 1, 2, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0
0, 1, 2, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 1, 2, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0
0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 1, 2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 1, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
0, 1, 2, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
0, 1, 2, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 1, 2, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0
0, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 1, 2, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 1, 2, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 1, 2, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 1, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
0, 1, 2, 1, 1, 1, 0, 1, 0, -0.3, -0.3, -0.51, 0, 0
0, 1, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0
